Country Name,Value
Afghanistan,39068979.0
Africa Eastern and Southern,694446100.0
Africa Western and Central,474569351.0
Albania,2837849.0
Algeria,44042091.0
American Samoa,49761.0
Andorra,77380.0
Angola,33451132.0
Antigua and Barbuda,91846.0
Arab World,453723239.0
Argentina,45191965.0
Armenia,2961500.0
Aruba,108587.0
Australia,25649248.0
Austria,8916864.0
Azerbaijan,10093121.0
"Bahamas, The",395863.0
Bahrain,1472204.0
Bangladesh,166298024.0
Barbados,281698.0
Belarus,9379952.0
Belgium,11538604.0
Belize,390812.0
Benin,13070169.0
Bermuda,64382.0
Bhutan,770006.0
Bolivia,11816299.0
Bosnia and Herzegovina,3299349.0
Botswana,2365894.0
Brazil,208660842.0
British Virgin Islands,37135.0
Brunei Darussalam,447404.0
Bulgaria,6934015.0
Burkina Faso,21478690.0
Burundi,12617036.0
Cabo Verde,514679.0
Cambodia,16725474.0
Cameroon,26210558.0
Canada,38028638.0
Caribbean small states,3092577.0
Cayman Islands,68684.0
Central African Republic,5026628.0
Central Europe and the Baltics,102046650.0
Chad,17224679.0
Channel Islands,166235.0
Chile,19370624.0
China,1411100000.0
Colombia,50629997.0
Comoros,802163.0
"Congo, Dem. Rep.",95989998.0
"Congo, Rep.",5752791.0
Costa Rica,5034320.0
Cote d'Ivoire,28915449.0
Croatia,3914206.0
Cuba,11176354.0
Curacao,154947.0
Cyprus,1302247.0
Czechia,10697858.0
Denmark,5831404.0
Djibouti,1105188.0
Dominica,67573.0
Dominican Republic,11008300.0
Early-demographic dividend,3396051187.0
East Asia & Pacific,2369438682.0
East Asia & Pacific (IDA & IBRD countries),2095759417.0
East Asia & Pacific (excluding high income),2121866294.0
Ecuador,17546065.0
"Egypt, Arab Rep.",109315124.0
El Salvador,6234673.0
Equatorial Guinea,1716468.0
Eritrea,3291271.0
Estonia,1329522.0
Eswatini,1192729.0
Ethiopia,118917671.0
Euro area,346922366.0
Europe & Central Asia,925088545.5
Europe & Central Asia (IDA & IBRD countries),463913014.5
Europe & Central Asia (excluding high income),250655325.5
European Union,447653554.0
Faroe Islands,52571.0
Fiji,914963.0
Finland,5529543.0
Fragile and conflict affected situations,996691242.0
France,67601110.0
French Polynesia,279209.0
Gabon,2322539.0
"Gambia, The",2515733.0
Georgia,3722716.0
Germany,83160871.0
Ghana,31887809.0
Gibraltar,36173.0
Greece,10698599.0
Greenland,56367.0
Grenada,116341.0
Guam,162158.0
Guatemala,17357325.0
Guinea,13371183.0
Guinea-Bissau,2013255.0
Guyana,807481.0
Haiti,11243848.0
Heavily indebted poor countries (HIPC),847743308.0
High income,1389524835.0
Honduras,10119640.0
"Hong Kong SAR, China",7481000.0
Hungary,9750149.0
IBRD only,4879367453.0
IDA & IBRD total,6667541078.5
IDA blend,597524859.0
IDA only,1190648766.5
IDA total,1788173625.5
Iceland,366463.0
India,1402617695.0
Indonesia,274814866.0
"Iran, Islamic Rep.",87723443.0
Iraq,42116605.0
Ireland,4985382.0
Isle of Man,84064.0
Israel,9215100.0
Italy,59438851.0
Jamaica,2830739.0
Japan,126261000.0
Jordan,10865228.0
Kazakhstan,19482117.0
Kenya,52217334.0
